path	license_class	spdx	copyright	flags	binary
auth/authenticated_user.cc	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/authenticated_user.hh	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/authentication_options.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2018-present ScyllaDB		no
auth/authenticator.cc	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/authenticator.hh	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/authorizer.hh	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/certificate_authenticator.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2022-present ScyllaDB		no
auth/certificate_authenticator.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2022-present ScyllaDB		no
auth/common.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/common.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/default_authorizer.cc	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/default_authorizer.hh	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/maintenance_socket_role_manager.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
auth/maintenance_socket_role_manager.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
auth/password_authenticator.cc	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/password_authenticator.hh	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/passwords.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2018-present ScyllaDB		no
auth/passwords.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2018-present ScyllaDB		no
auth/permission.cc	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/permission.hh	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/permissions_cache.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/permissions_cache.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/resource.cc	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/resource.hh	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
auth/role_manager.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/role_or_anonymous.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2018-present ScyllaDB		no
auth/role_or_anonymous.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2018-present ScyllaDB		no
auth/roles-metadata.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2018-present ScyllaDB		no
auth/roles-metadata.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/sasl_challenge.cc	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2019-present ScyllaDB		no
auth/sasl_challenge.hh	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2019-present ScyllaDB		no
auth/service.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/service.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/standard_role_manager.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/standard_role_manager.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/transitional.cc	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2017-present ScyllaDB		no
backlog_controller.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
bin/cqlsh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
bin/nodetool	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2024-present ScyllaDB		no
build_mode.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2022-present ScyllaDB		no
bytes.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2014-present ScyllaDB		no
bytes.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
bytes_ostream.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
